DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TXDDMI-RESULT,SIGNALOFF-RESULT,WRITEFLASH-RESULT,VERIFYSIGNAL-RESULT,WRITEMAC-RESULT,ERROR-CODE,TOTAL-RESULT
2018/05/07 17:24:28,--,G707893Y000001,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-LI-0002),FAIL
2018/05/07 17:35:18,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:35:26,--,G707893Y000001,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-LI-0002),FAIL
2018/05/07 17:37:41,--,G707893Y000001,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-LI-0002),FAIL
2018/05/07 17:44:14,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:44:46,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:49:58,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:50:23,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:52:10,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:52:48,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:54:28,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:55:12,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:56:32,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:57:43,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:59:04,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 18:00:19,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
